513.43	4.22
513.88	4.22
514.34	4.22
514.79	4.22
515.24	4.22
515.69	4.21
516.14	4.21
516.60	4.21
517.05	4.21
517.50	4.21
517.95	4.20
518.40	4.20
518.85	4.20
519.31	4.20
519.76	4.20
520.21	4.19
520.66	4.19
521.11	4.19
521.56	4.19
522.02	4.18
522.47	4.18
522.92	4.18
523.37	4.18
523.82	4.18
524.27	4.18
524.73	4.17
525.18	4.17
525.63	4.17
526.08	4.17
526.53	4.17
526.98	4.16
527.43	4.16
527.88	4.16
528.34	4.16
528.79	4.16
529.24	4.15
529.69	4.15
530.14	4.15
530.59	4.15
531.04	4.15
531.49	4.15
531.95	4.14
532.40	4.14
532.85	4.14
533.30	4.14
533.75	4.14
534.20	4.13
534.65	4.13
535.10	4.13
535.55	4.13
536.00	4.13
536.45	4.13
536.90	4.12
537.36	4.12
537.81	4.12
538.26	4.12
538.71	4.12
539.16	4.12
539.61	4.11
540.06	4.11
540.51	4.11
540.96	4.11
541.41	4.11
541.86	4.11
542.31	4.10
542.76	4.10
543.21	4.10
543.66	4.10
544.11	4.10
544.56	4.10
545.01	4.09
545.46	4.09
545.91	4.09
546.36	4.09
546.81	4.09
547.26	4.09
547.71	4.09
548.16	4.08
548.61	4.08
549.06	4.08
549.51	4.08
549.96	4.08
550.41	4.08
550.86	4.07
551.31	4.07
551.76	4.07
552.21	4.07
552.66	4.07
553.11	4.07
553.56	4.07
554.01	4.06
554.46	4.06
554.91	4.06
555.36	4.06
555.81	4.06
556.26	4.06
556.71	4.06
557.16	4.05
557.61	4.05
558.06	4.05
558.51	4.05
558.96	4.05
559.41	4.05
559.86	4.05
560.31	4.04
560.75	4.04
561.20	4.04
561.65	4.04
562.10	4.04
562.55	4.04
563.00	4.04
563.45	4.03
563.90	4.03
564.35	4.03
564.80	4.03
565.25	4.03
565.70	4.03
566.14	4.03
566.59	4.03
567.04	4.02
567.49	4.02
567.94	4.02
568.39	4.02
568.84	4.02
569.29	4.02
569.74	4.02
570.18	4.02
570.63	4.01
571.08	4.01
571.53	4.01
571.98	4.01
572.43	4.01
572.88	4.01
573.32	4.01
573.77	4.01
574.22	4.00
574.67	4.00
575.12	4.00
575.57	4.00
576.01	4.00
576.46	4.00
